사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2019122500100396,2019년 12월 25일 20시,수요일,경기도 수원시 권선구 서둔동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,남,62세,상해없음,승용,남,27세,경상
2019122500100439,2019년 12월 25일 22시,수요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,이륜,남,53세,상해없음,이륜,남,59세,중상
2019122600100054,2019년 12월 26일 05시,목요일,경기도 수원시 팔달구 화서동,중상사고,0,1,0,0,차대사람 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,52세,상해없음,보행자,남,69세,중상
2019122600100055,2019년 12월 26일 05시,목요일,경기도 수원시 장안구 이목동,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 기타,화물,남,57세,상해없음,승용,남,49세,경상
2019122600100065,2019년 12월 26일 06시,목요일,경기도 수원시 권선구 세류동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,승합,남,52세,상해없음,보행자,여,61세,중상
2019122600100144,2019년 12월 26일 09시,목요일,경기도 수원시 권선구 세류동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,젖음/습기,비,교차로 - 교차로부근,승용,여,57세,상해없음,승용,남,47세,경상
2019122600100170,2019년 12월 26일 10시,목요일,경기도 수원시 팔달구 우만동,경상사고,0,0,1,0,차대차 - 기타,기타,젖음/습기,비,교차로 - 교차로안,승용,남,26세,상해없음,화물,남,42세,경상
2019122600100171,2019년 12월 26일 10시,목요일,경기도 수원시 팔달구 화서동,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,젖음/습기,비,교차로 - 교차로안,승용,남,61세,상해없음,화물,남,41세,경상
2019122600100201,2019년 12월 26일 11시,목요일,경기도 수원시 영통구 원천동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,34세,상해없음,승용,남,22세,경상
2019122600100304,2019년 12월 26일 14시,목요일,경기도 수원시 장안구 조원동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,52세,상해없음,보행자,여,28세,경상
2019122600100340,2019년 12월 26일 15시,목요일,경기도 수원시 팔달구 인계동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,여,22세,상해없음,승용,남,54세,경상
2019122600100413,2019년 12월 26일 17시,목요일,경기도 수원시 영통구 원천동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,24세,상해없음,승용,남,55세,경상
2019122600100539,2019년 12월 26일 20시,목요일,경기도 수원시 팔달구 우만동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,32세,상해없음,보행자,남,52세,중상
2019122600100541,2019년 12월 26일 20시,목요일,경기도 수원시 영통구 매탄동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,젖음/습기,흐림,교차로 - 교차로안,승용,여,45세,상해없음,이륜,남,41세,경상
2019122600100567,2019년 12월 26일 21시,목요일,경기도 수원시 장안구 파장동,경상사고,0,0,1,0,차대차 - 기타,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,여,33세,경상,승용,남,45세,상해없음
2019122600100594,2019년 12월 26일 22시,목요일,경기도 수원시 팔달구 화서동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승합,남,68세,상해없음,이륜,남,24세,부상신고
2019122600100597,2019년 12월 26일 22시,목요일,경기도 수원시 영통구 이의동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,49세,상해없음,보행자,남,52세,경상
2019122600100598,2019년 12월 26일 22시,목요일,경기도 수원시 권선구 구운동,중상사고,0,1,3,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,55세,상해없음,승용,여,50세,중상
2019122600100622,2019년 12월 26일 23시,목요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,41세,상해없음,보행자,남,23세,경상
2019122700100073,2019년 12월 27일 05시,금요일,경기도 수원시 영통구 이의동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,26세,상해없음,승용,남,61세,경상
2019122700100078,2019년 12월 27일 06시,금요일,경기도 수원시 장안구 정자동,중상사고,0,1,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,18세,경상,승용,남,46세,상해없음
2019122700100128,2019년 12월 27일 08시,금요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,71세,경상,승용,여,25세,상해없음
2019122700100161,2019년 12월 27일 09시,금요일,경기도 수원시 팔달구 화서동,부상신고사고,0,0,0,2,차대차 - 기타,과속,건조,맑음,교차로 - 교차로부근,승용,남,23세,부상신고,승합,남,65세,기타불명
2019122700100162,2019년 12월 27일 09시,금요일,경기도 수원시 장안구 송죽동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,남,59세,기타불명,화물,여,61세,경상
