사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021122900100483,2021년 12월 29일 20시,수요일,경기도 수원시 장안구 이목동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,58세,상해없음,승용,남,59세,경상
2021122900100487,2021년 12월 29일 20시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,젖음/습기,맑음,단일로 - 기타,승용,여,22세,상해없음,보행자,남,53세,경상
2021122900100519,2021년 12월 29일 21시,수요일,경기도 수원시 영통구 원천동,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,21세,상해없음,승용,남,70세,경상
2021123000100004,2021년 12월 30일 00시,목요일,경기도 수원시 권선구 당수동,부상신고사고,0,0,0,1,차량단독 - 전도전복 - 전도,안전운전불이행,젖음/습기,흐림,단일로 - 기타,이륜,남,37세,부상신고,,,,
2021123000100064,2021년 12월 30일 08시,목요일,경기도 수원시 장안구 정자동,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,교차로 - 교차로안,승용,남,55세,상해없음,보행자,여,44세,중상
2021123000100065,2021년 12월 30일 08시,목요일,경기도 수원시 장안구 천천동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,화물,남,43세,상해없음,자전거,남,15세,경상
2021123000100190,2021년 12월 30일 12시,목요일,경기도 수원시 권선구 구운동,경상사고,0,0,2,0,차대차 - 추돌,신호위반,건조,맑음,교차로 - 교차로부근,원동기,남,43세,상해없음,승용,여,29세,경상
2021123000100271,2021년 12월 30일 15시,목요일,경기도 수원시 장안구 이목동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,여,41세,상해없음,승용,남,30세,상해없음
2021123000100307,2021년 12월 30일 16시,목요일,경기도 수원시 영통구 망포동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,56세,상해없음,승용,남,55세,경상
2021123000100551,2021년 12월 30일 21시,목요일,경기도 수원시 팔달구 우만동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,56세,상해없음,보행자,남,49세,경상
2021123000100614,2021년 12월 30일 23시,목요일,경기도 수원시 권선구 호매실동,경상사고,0,0,1,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,이륜,남,16세,부상신고,승용,여,24세,경상
2021123100100018,2021년 12월 31일 04시,금요일,경기도 수원시 권선구 탑동,경상사고,0,0,4,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,69세,상해없음,승용,남,23세,경상
